Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
Maestrik,https://www.crunchbase.com/organization/maestrik,"Apps, Education, Internet, Mobile, Software","Bogotá, Distrito Especial, Colombia","You will find the classes, courses and workshops that increase your learning level, so you can project yourself and achieve your goals.","13,776",Latin America,Less than $1M,Active,17/06/2017,day,,,,,For Profit,https://maestrik.com,https://twitter.com/maestrikcol,https://www.facebook.com/maestrikcol/,https://www.linkedin.com/company/maestrik/,camilo@maestrik.com,(+1) 5185201,1,,"Maestrik helps you find the classes, courses and workshops that increase your learning level, so you can project yourself and achieve your goals.",,,,,,,,,,,,,,"Apps, Education, Internet Services, Mobile, Software",2,"Camilo Sardi Orozco, Mario Andrés Tobón Orozco",51-100,4,Seed,07/11/2019,1319970,USD,1319970,Debt Financing,750000,USD,750000,Seed,1300000,USD,1300000,2619970,USD,2619970,COLABORATIVOx,,1,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,390",29,,,,0,0,,Scientific and electric apparatus and instruments,,,,,Colombia,Bogotá,Distrito Especial,0
Avista,https://www.crunchbase.com/organization/avista-ca36,"Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Avista is a technology-based financial company reinventing people's financial lives through an ecosystem of simple, digital credit solutions","13,927",Latin America,$1B to $10B,Active,01/02/2019,month,,,,,For Profit,http://www.avista.co,,,https://www.linkedin.com/company/avista-financial-solutions/,andrea.giraldo@avista.co,,1,,"Founded in 2019, Avista is a tech-based financial company focused on reinventing people’s lives through an ecosystem of simple and digital financial solutions.  Its purpose is to guarantee access to credit products to all segments of Colombia’s population, including rural and intermediate cities. Thanks to its state of the art technology, it has been able to develop products at better prices, agile disbursement mechanisms while guaranteeing a satisfactory experience for all its clients. We are here for you!",,,,,,,,,,,,,,Financial Services,,,251-500,1,,23/04/2020,75000000,USD,75000000,Debt Financing,,,,,,,,75000000,USD,75000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,546",31,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Truora,https://www.crunchbase.com/organization/truora,"Developer Platform, Information Services, Security","Cali, Valle del Cauca, Colombia","Truora provides fast, innovative, and safe solution in background checks and identity theft detection.","14,245",Latin America,$1M to $10M,Active,01/01/2018,year,,,,,For Profit,https://www.truora.com/,,,https://www.linkedin.com/company/truora/,contact@truora.com,,6,,"Truora provides fast, innovative, and safe solution in background checks and identity theft detection.  The company's platform supports over 10,000 checks per hour. Through the company's technical and analytical skills, the company has a unique response capacity, ensuring that the user receives the best service. Truora 's clients include national and international retailers, banks, and marketplaces; providing custom made solutions to their human resources, risk and digital teams.",,,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",4,"Cesar Pino, Daniel Bilbao, Daniel Bilbao, Maite Muniz Telleria",Nov-50,3,Seed,01/06/2019,3300000,USD,3300000,Seed,3300000,USD,3300000,Seed,3450000,USD,3450000,3450000,USD,3450000,"Y Combinator, Accel, Magma Partners, Kaszek Ventures, MAYA Capital",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,871",57,,,,,,,,,,,,Colombia,Cali,Valle del Cauca,1
Ayenda Hotels,https://www.crunchbase.com/organization/ayenda,"Hospitality, Hotel, Travel","Medellín, Antioquia, Colombia",Fastest growing budget hotel chain.,"14,676",Latin America,Less than $1M,Active,01/05/2015,day,,,,,For Profit,https://www.ayenda.com,,https://www.facebook.com/ayendahoteles/,https://www.linkedin.com/company/ayenda/,info@ayenda.com,5.73012E+11,7,,"Ayenda is the fastest growing hotel chain in Latin America. Based in Colombia, Ayenda Currently is the larger hotel chain in this country by the number of properties. Ayenda franchise small hotels in main cities to ensure quality on the basics needs for travelers. Ayenda is a technology company, this enables run the chain by the proprietary software in all areas, from hotel software, pricing algorithms, and user-facing experience.",,,,,,,,,,,,,,Travel and Tourism,1,Andrés Sarrazola,101-250,2,Early Stage Venture,19/02/2020,8700000,USD,8700000,Series A,8700000,USD,8700000,Series A,10000000,USD,10000000,10000000,USD,10000000,"SoftBank, 500 Startups, Kaszek Ventures, K50 Ventures, Irelandia Aviation",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"15,318",20,3,,9,,,,,,,,,Colombia,Medellín,Antioquia,0
Finaktiva,https://www.crunchbase.com/organization/finaktiva,"Financial Services, FinTech, Information Technology, Lending, Small and Medium Businesses","Medellín, Antioquia, Colombia",Online lending platform for high impact SMEs in Colombia,"14,873",Latin America,Less than $1M,Active,01/01/2017,year,,,,,For Profit,https://finaktiva.com/,https://twitter.com/finaktiva,https://www.facebook.com/finaktiva/,https://www.linkedin.com/company/finaktiva-s-a-s/,pablo@finaktiva.com,+57 (4) 444 14 54,10,,"Finaktiva is the fintech ally for Colombian entrepreneurs. It offers flexible and agile online loans adjusted to the cashflow and capital needs of small and medium companies, plus advisory tools to support their growth. It looks for businesses with an innovative model, two digits growth rates, and positive impact in their communities.",,,,,,,,,,,,,,"Financial Services, Information Technology, Other",1,Pablo Santos Ramon,Nov-50,3,Early Stage Venture,30/06/2019,9000000,USD,9000000,Series A,9000000,USD,9000000,Series A,15000000,USD,15000000,15000000,USD,15000000,"Triodos Investment Management, Alphamundi, GRUPO BANCOLOMBIA, Aktiva Asset Management, Confiar",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"15,520",21,,,,,,,,,,,,Colombia,Medellín,Antioquia,1
ontop,https://www.crunchbase.com/organization/top-e6ff,"Human Resources, SaaS","Bogotá, Distrito Especial, Colombia","Taxes, Onboarding and Payroll manager for international teams","16,267",Latin America,,Active,01/07/2020,day,,,,,For Profit,https://www.ontop.ai/,https://twitter.com/ontopai,,https://www.linkedin.com/company/ontopai/,,,2,,"Hire legally anywhere in the world. We empower you to think global. Hire, manage and pay the best talent from any country you can dream of. Taxes, onboarding and payroll for global teams",,,,,,,,,,,,,,"Administrative Services, Software",3,"Jaime Abella, Julian Torres, Santiago Aparicio",Nov-50,2,Seed,14/12/2020,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,Pre-Seed,1300000,USD,1300000,1300000,USD,1300000,Y Combinator,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"16,957",35,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Sempli,https://www.crunchbase.com/organization/sempli,"Financial Services, FinTech, Lending, Online Portals, Small and Medium Businesses","Medellín, Antioquia, Colombia",Sempli is the leading online lending platform for small businesses in Colombia.,"16,658",Latin America,Less than $1M,Active,01/01/2017,day,,,,,For Profit,http://www.sempli.co,https://www.twitter.com/sempli_co,https://www.facebook.com/sempli.co,https://www.linkedin.com/company/sempli.co/,contacto@sempli.co,+57 (4) 322 5002,5,,Sempli is an online lending platform for small businesses in Colombia.,,,,,,,,,,,,,,"Financial Services, Internet Services, Other",2,"Esteban Velasco, Felipe Llano",Nov-50,6,Early Stage Venture,30/04/2019,6500000,USD,6500000,Series A,6500000,USD,6500000,Series A,8800000,USD,8800000,24000000,USD,24000000,"Oikocredit International, Alphamundi, IDB Lab, Incofin Investment Management, Impulsum Ventures",,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"17,357",37,,,,,,,,,,,,Colombia,Medellín,Antioquia,1
FLUVIP,https://www.crunchbase.com/organization/fluvip,"Advertising, Apps, Photo Sharing, Social Media Marketing, Video Streaming","Bogotá, Distrito Especial, Colombia",Fluvip is an influencer marketing company in Latin America and the United States.,"16,769",Latin America,Less than $1M,Active,10/07/2013,day,,,,,For Profit,http://www.fluvip.com,http://twitter.com/FluvipGlobal,http://www.facebook.com/fluvip,http://www.linkedin.com/company/fluvip-sas,sebastian@fluvip.com,+57 (1) 703 32 29,7,,"Fluvip is an influencer marketing company in Latin America and the United States. It offers a technology platform that allows advertisers to identify the right social content influencers for their campaigns based on artificial intelligence systems; and brands to connect with social content influencers in the world through multi-channels, such as Twitter, Instagram, Vine, Facebook, and Blogs.  Fluvip measures the reactions and behaviors of users in social networks to obtain segmentation results and to achieve effective campaigns. Sebastian Jasminoy founded it on July 10, 2013, with its headquarters in Bogotá in Colombia.",,,,,,,,,,,,,,"Advertising, Apps, Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Video",1,Sebastian Jasminoy,101-250,5,Early Stage Venture,30/07/2018,4500000,USD,4500000,Series A,4500000,USD,4500000,Series A,7000000,USD,7000000,7496821,USD,7496821,"Wayra, TheVentureCity Fund, Cisneros Group, Velum Inverlink",1,4,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"17,475",26,,,11,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Demetria,https://www.crunchbase.com/organization/demetria,"Artificial Intelligence, Software","Bogotá, Distrito Especial, Colombia",Demetria is an AI-powered taste and quality intelligence SaaS startup for the coffee supply chain.,"16,902",Latin America,,Active,01/01/2018,year,,,,,,https://demetria.ag/,,,https://www.linkedin.com/company/demetria-ag,,,2,,Demetria is an AI-powered taste and quality intelligence SaaS startup for the coffee supply chain.,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",,,Nov-50,1,Seed,02/03/2021,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,"Celeritas, Mercantil Colpatria",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"17,611",,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Lentesplus,https://www.crunchbase.com/organization/lentesplus,"Customer Service, E-Commerce, Eyewear, Health Care, Internet","Bogotá, Distrito Especial, Colombia",Lentesplus.com is the leading online contact lens suscription platform for LATAM,"17,846",Latin America,$1M to $10M,Active,01/01/2014,year,,,,,For Profit,http://www.lentesplus.com,http://twitter.com/Lentespluscom,http://www.facebook.com/LentesplusGlobal,,jaime@lentesplus.com,,2,,"Lentesplus.com brings the Latin American contact lens market online and into the 21st century, offering competitive prices between 20% and 30% below market standards. The company offers clients ease and efficiency, delivering the correct product straight to their homes or offices, in many cases on the same day as the order was placed. With a strong focus on customer service, Lentesplus makes reordering contact lenses as simple as two clicks. Currently have operations in Colombia, Mexico, Chile and Argentina",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Health Care, Internet Services, Other, Professional Services",3,"Carlos Avendaño, Diego Mariño, Jaime Oriol",51-100,4,Late Stage Venture,20/03/2020,5200000,USD,5200000,Series D,5200000,USD,5200000,Series D,13700000,USD,13700000,13700000,USD,13700000,"Palm Drive Capital, IGNIA, InQlab, Stella Maris Partners, Inversiones Oranda",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"18,586",29,,,24,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Mi Aguila,https://www.crunchbase.com/organization/mi-águila,"E-Commerce, Logistics, Software","Bogotá, Distrito Especial, Colombia",Mi Aguila is a technology company focused on empowering traditional businesses in Latin America through logistics and e-commerce software.,"18,626",Latin America,$1M to $10M,Active,01/01/2015,year,,,,,For Profit,https://miaguila.com,,https://www.facebook.com/MiAguilaOficial/,https://www.linkedin.com/company/9188061/,ventas@miaguila.com, +(571) 7458868,,,,,,,,,,,,,,,,,"Commerce and Shopping, Software, Transportation",2,"Andres Blumer, Bruno Ocampo-Gonzalez",101-250,4,Early Stage Venture,01/10/2020,3000000,USD,3000000,Convertible Note,3500000,USD,3500000,Series A,5950000,USD,5950000,8950000,USD,8950000,"Angel Ventures, Alpha4 Ventures, K50 Ventures, Charles Meyer",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"19,393",33,4,"4,891",,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Foody,https://www.crunchbase.com/organization/foody-df60,"E-Commerce, Food and Beverage, Mobile Apps","Bogotá, Distrito Especial, Colombia",Foody provides healthy food to the vast majority of Latin Americans with affordable prices,"19,798",Latin America,Less than $1M,Active,06/01/2017,day,,,,,For Profit,https://foody.com.co,,https://www.facebook.com/foodycolombia,https://www.linkedin.com/company/foodyco/about/,contacto@foody.com.co,,1,,Foody provides healthy food to the vast majority of Latin Americans with affordable prices.,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Food and Beverage, Mobile, Software",3,"Andrés David Galindo, Antonio José Plata Rodelo, Juan Pasquale",Nov-50,5,Seed,01/06/2020,150000,USD,150000,Seed,150000,USD,150000,Seed,150000,USD,150000,459229,USD,459229,"Innogen Capital, INVX, José Fernando Velez, Nicolas Fernandez Talice, Rolf Veldman",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,595",58,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
MO Tecnologias,https://www.crunchbase.com/organization/mo-tecnologias-llc,"Artificial Intelligence, Consumer Lending, Credit, Financial Services, FinTech, Information Technology, Micro Lending, Payments","Bogotá, Distrito Especial, Colombia",MO Tecnologias is a Fintech that aims at revolutionizing the credit scoring industry and promoting financial inclusion.,"19,938",Latin America,$1M to $10M,Active,01/01/2016,year,,,,,For Profit,http://www.wearemo.com,,https://www.facebook.com/motecnologias,https://www.linkedin.com/company/motechnologies/,info@motecnologias.com,+57 1 3222710,6,,"MO Tecnologias is a Fintech who has developed an innovative patent-pending proprietary credit scoring technology and loan management platform which uses AI & machine learning. Without the need to know the identity of the user, MO processes numerous data points and calculates a credit score within seconds, pre-approving the user. The MO loan issuing & management platform can serve and admin credit to persons or small businesses via multiple channels, including Smart Mobile App, Web Portal, POS Terminal, M-Pos, USSD, SMS, Transport Cards, and Pre-Paid & Debit Cards.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Payments, Science and Engineering, Software",2,"Paolo Fidanza, Veronica Crisafulli",101-250,3,Early Stage Venture,12/12/2017,4009897,USD,4009897,Series A,4009897,USD,4009897,Series A,5495697,USD,5495697,5495697,USD,5495697,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,3,"20,740",12,,,,1,0,Computing; Calculating,,,,,,Colombia,Bogotá,Distrito Especial,0
Farmalisto,https://www.crunchbase.com/organization/farmalisto,"E-Commerce, Health Care","Bogotá, Distrito Especial, Colombia",First regional pure player Online Pharmacy and support services to pharmaceutical industry in LATAM operating in Mexico and Colombia,"20,112",Latin America,,Active,17/10/2013,day,,,,,For Profit,http://www.farmalisto.com,,,https://www.linkedin.com/company/farmalisto,,,6,,"Farmalisto is an online retailer that sells a range of products and services to its clients. The platform’s range of products include haircare, dampeners, solar protection, healing, moisturizing, anti-aging, toothbrushes, toothpastes, mouth rinses, dental silks, dentures, protection, cereals, baby hygiene, baby milks, and diapers. Farmalisto was launched in 2013 by Jose Mora Hernandez, Stefan Krautwald, and Matthias Fehr and is based in Bogota and Mexico City. Websites: https://www.farmalisto.com.mx https://www.farmalisto.com.co",,,,,,,,,,,,,,"Commerce and Shopping, Health Care",3,"Jose Mora Hernandez, Matthias Fehr, Stefan Krautwald",51-100,3,Early Stage Venture,23/12/2020,18000000,USD,18000000,Series B,18000000,USD,18000000,Series B,18000000,USD,18000000,20500000,USD,20500000,"HBM Healthcare Investments AG, IDB Invest, Morgan Rio Capital Management",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,917",74,,,15,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
