,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
69,Tranqui,https://www.crunchbase.com/organization/tranqui,"Finance, Financial Services, FinTech","Cali, Valle del Cauca, Colombia",Tranqui is a digital financial advisor that combines technology with financial planning to help people make better financial decisions.,"47,378",Latin America,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://tranquifinanzas.com/,https://twitter.com/TranquiFinanzas,https://www.facebook.com/Tranquifinanzas/,https://www.linkedin.com/company/tranquifinanzas/,,,,,"Tranqui was born from the idea that financial planning should be accessible to all , without being forced to buy a product, regardless of the interest of financial institutions, without the technicalities or prices of the financial industry.",,,,,,,,,,,,,,Financial Services,3.0,"Andres Vasquez, Jorge Gallego, Juan Camilo González Trujillo",1-10,2.0,Seed,2019-08-19,150000,USD,150000.0,Seed,150000.0,USD,150000.0,Seed,150000.0,USD,150000.0,150000.0,USD,150000.0,"500 Startups, Y Combinator",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,116",53.0,,,19.0,,,,,,,,,Colombia,Cali,Valle del Cauca,0
70,LoQueNecesito.co,https://www.crunchbase.com/organization/loquenecesito-co,"Commercial Real Estate, FinTech, Real Estate","Bogotá, Distrito Especial, Colombia",Best mortgage credit and online housing for all low and middle class Latin Americans,"47,534",Latin America,,Active,2017-01-01,day,,,,,For Profit,https://loquenecesito.co/,,https://www.facebook.com/LoQueNecesito.Co/,https://www.linkedin.com/company/loquenecesito-co/,andres.perez@loquenecesito.co,+573175161893,6,,"committed to delivering the best mortgage credit experience and home buying to middle and lower class Latin Americans, through a digital process, big data, maching learning and online offers.",,,,,,,,,,,,,,"Financial Services, Real Estate",1.0,Andrés Pérez Vargas,11-50,2.0,Seed,2019-08-30,700000,USD,700000.0,Pre-Seed,700000.0,USD,700000.0,Pre-Seed,910000.0,USD,910000.0,910000.0,USD,910000.0,"500 Startups, Angel Ventures Peru",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,279",43.0,,,20.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
71,Credivalores-Crediservicios,https://www.crunchbase.com/organization/credivalores-crediservicios,"Credit, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Credivalores-Crediservicios, S.A.S. provides consumer loans in Colombia","47,641",Latin America,$1B to $10B,Active,2003-01-01,year,,,,,For Profit,https://www.credivalores.com.co,https://www.twitter.com/credivaloresco,https://www.facebook.com/credivaloressas,https://www.linkedin.com/company/3991844,servicioalcliente@credivalores.com,,,,"Based in Bogota, Colombia, Credivalores-Crediservicios is a non-banking financial company that provides consumer loans for individuals and small companies. The company also focuses on payroll-deduction loans and consumer lending collected through public utility bills as well as discount of checks and financing of insurance policies to low and middle income individuals. The independent consumer finance company uses its funding received from Gramercy Funds Management to upgrade the company’s entire technology platform combined with various initiatives. Founded in 2003, Credivalores-Crediservicios offers its services to clients in Colombia, Mexico, and the United States.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",1.0,David Seinjet,10001+,2.0,,2014-09-29,34000000,USD,34000000.0,Venture - Series Unknown,34000000.0,USD,34000000.0,Venture - Series Unknown,34000000.0,USD,34000000.0,34000000.0,USD,34000000.0,"ACON Investment, Gramercy Funds Management",2.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,391",25.0,5.0,"8,641",16.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
72,Virgin Mobile Latin America,https://www.crunchbase.com/organization/virgin-mobile-latin-america,"Mobile, Telecommunications, Wireless","Bogotá, Distrito Especial, Colombia","VMLA is the largest and fastest growing mobile virtual operator with operations in Mexico, Colombia, Chile and Peru.","47,703",Latin America,$500M to $1B,Active,2010-01-01,year,,,,,For Profit,http://www.virginmobilelatam.com,,https://www.facebook.com/virginmobileco,,virgindigital@virginmobile.co,+57 1 800 0937171,9,,"The Virgin Group is a leading international branded investment company and one of the world's most recognized and respected brands.  Conceived in 1970 by Sir Richard Branson, the Virgin Group has gone on to grow successful businesses in sectors ranging from mobile telephony and media to transportation, travel, financial services, hotels, health and fitness, as well as renewable technologies and space tourism. Virgin has created more than 400 branded companies worldwide, employing approximately 50,000 people, in 29 countries.  Its Global branded revenues in 2010 exceeded £11.5 billion (approx. US$18.5 billion).",,,,,,,,,,,,,,"Hardware, Mobile",4.0,"Jay Metcalfe, Peter Langkilde, Peter Macnee, Phil Wallace",501-1000,2.0,Late Stage Venture,2013-02-16,20000000,USD,20000000.0,Series C,20000000.0,USD,20000000.0,Series C,46500000.0,USD,46500000.0,46500000.0,USD,46500000.0,"Virgin Group, ePlanet Capital, Hermes Growth Partners, Souter Investments, Archimedia",1.0,5.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,456",13.0,2.0,"6,377",10.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
73,Canacol Energy,https://www.crunchbase.com/organization/canacol-energy,"Energy, Energy Efficiency, Oil and Gas, Renewable Energy","Bogotá, Distrito Especial, Colombia",Canacol Energy Ltd. is a Canadian-based international junior energy company.,"49,057",Latin America,$10M to $50M,Active,2008-01-01,year,1996-08-16,day,,,For Profit,http://www.canacolenergy.com/s/home.asp,,https://www.facebook.com/pages/Canacol-Energy/455522574562038,https://www.linkedin.com/company/canacol-energy-ltd,Supplier-Bogota@canacolenergy.com,(571)621-1747,5,,"Canacol Energy Ltd. is a Canadian-based international junior energy company with production and exploration operations located in South America. The Corporation’s operations are focused in Colombia, Brazil, and Guyana, with offices located in Calgary, Bogota and Rio de Janeiro. The mandate of the Corporation is to build a stable operated production platform, and leverage operational expertise to grow through exploration in each of its focus countries.",,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability",2.0,"Charle Gamba, David Winter",11-50,1.0,IPO,2014-11-10,100000000,USD,100000000.0,Post-IPO Equity,100000000.0,USD,100000000.0,Post-IPO Equity,100000000.0,USD,100000000.0,100000000.0,USD,100000000.0,,,,,,,,,,,,,,,,,Public,1996-08-16,,,,,,,,,CNE,https://www.crunchbase.com/ipo/canacol-energy-ipo--92276a69,TSX - Toronto Stock Exchange,,,"50,861",31.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
74,Datawifi,https://www.crunchbase.com/organization/datawifi,"Internet, Telecommunications, Wireless","Bogotá, Distrito Especial, Colombia","Lead platform in LATAM that helps you to acquire, and qualify sale leads using WiFi networks.","49,411",Latin America,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://www.datawifi.co/,,,https://www.linkedin.com/company/datawifi/,wifi@datawifi.co,+57 301 6604857,13,,"We help to connect more than 20MM of unique users in Latin America. Datawifi is an analysis, marketing, and communication platform that uses Wi-Fi networks to attract, retain, and reward its consumers. Datawifi helps you grow your offline presence using your WiFi network. Our platform helps you to know precisely the behavior of the target public, experts in solutions for Government, Retail, Restaurants, and Hospitality.",,,,,,,,,,,,,,"Hardware, Internet Services, Mobile",3.0,"Andres Gomez, Edwin Pardo, Maria Claudia Osorio Piedrahita",11-50,4.0,Seed,2019-12-07,110000,USD,110000.0,Pre-Seed,110000.0,USD,110000.0,Pre-Seed,330000.0,USD,330000.0,490000.0,USD,490000.0,"IBM, Morro Ventures",2.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,231",15.0,,,16.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
75,EdgeUno,https://www.crunchbase.com/organization/edgeuno,Internet,"Bogotá, Distrito Especial, Colombia","EdgeUno is a Internet, Datacenter and Managed Services provider in Latin America","49,572",Latin America,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://edgeuno.com/,,,https://www.linkedin.com/company/edgeuno/,support@edgeuno.com,+1-650-502-1903,1,,"Our portfolio of professional turnkey infrastructure services, deployment, and solutions is the region`s best choice for companies of all sizes who are seeking edge computing and content delivery capabilities with the lowest latency and highest availability. Backed by our customer-obsessed support network of highly specialized professionals, EdgeUno is the partner you need to make your access and expansion to Latin America easy and hassle-free. EdgeUno was founded in Silicon Valley by a team of innovative executives with backgrounds in Equinix, Microsoft, and Yahoo!",,,,,,,,,,,,,,Internet Services,2.0,"Lane Patterson, Mehmet Akcin",51-100,1.0,Seed,2018-01-04,500000,USD,500000.0,Pre-Seed,500000.0,USD,500000.0,Pre-Seed,500000.0,USD,500000.0,500000.0,USD,500000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,398",32.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
76,ImagineX,https://www.crunchbase.com/organization/imaginex,"Augmented Reality, Big Data, Mobile Apps, Software, Virtual Reality","Bogotá, Distrito Especial, Colombia",ImagineX helps companies to increase their sales through digital channels using amazing visualization techs. We create new realities!,"50,150",Latin America,,Active,2018-03-01,day,,,,,For Profit,http://imagine-x.co/main_page.html,,https://www.facebook.com/ImagineXSAS/?ref=bookmarks,https://www.linkedin.com/company/imaginex-sas/?viewAsMember=true,contactenos@imagine-x.co,+5719373083,8,,"ImagineX is a B2B digital-based startup that helps companies in the real state, finishing, pharmaceutical, and retail industries to increase their sales via upselling, cross-selling and prompt selling though their physical and digital channel using a unique blend of visualization technologies of the industry 4.0. We have R&D agreement with Andes University.",,,,,,,,,,,,,,"Apps, Data and Analytics, Hardware, Mobile, Software",1.0,Mario Varon,11-50,2.0,Seed,2020-07-30,300000,USD,300000.0,Seed,300000.0,USD,300000.0,Seed,550000.0,USD,550000.0,550000.0,USD,550000.0,"Upward, Mario Varon",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,994",3.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
77,Linxe,https://www.crunchbase.com/organization/linxe-libranzas-en-línea,"Credit, Employee Benefits, Financial Services, FinTech, Sustainability, Wellness","Bogotá, Distrito Especial, Colombia","With our embedded finance platform, we are directly connected to payroll providers; this allows us to have real-time information and significantly increase monthly installment payments reliability. We want to help 90% of LATAM employees build a community of Linxers where they would have on-demand access to any product and services they need, using the payroll discount of their salary as a new payment method.","51,145",Latin America,$10M to $50M,Active,2019-03-01,day,,,,,For Profit,https://www.linxe.com/,,https://www.facebook.com/Linxe-Libranzas-en-L%C3%ADnea-442453749843827/?modal=admin_todo_tour,https://www.linkedin.com/company/firmus-sas/about/?viewAsMember=true,contacto@linxe.com,+ (57) 315 3847859,1,,"Linxe's vision is to build a truly inclusive financial services platform, one that generates credit history and provides an entry point for unbanked individuals that are too commonly overlooked by large institutional banks in Colombia and Latin America more broadly.",,,,,,,,,,,,,,"Administrative Services, Financial Services, Health Care, Lending and Investments, Sustainability",2.0,"Cesar Cuevas, Diego Rodríguez",1-10,2.0,Seed,2020-01-15,1000000,USD,1000000.0,Pre-Seed,1000000.0,USD,1000000.0,Pre-Seed,1000000.0,USD,1000000.0,1000000.0,USD,1000000.0,Loyal VC,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,036",30.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
78,Nethub,https://www.crunchbase.com/organization/nethub-media,"Analytics, Business Intelligence, Enterprise Software, Semantic Web","Bogotá, Distrito Especial, Colombia",Nethub offers a cloud-based tool for centralizing consumer information from any type of marketing interaction of B2C companies.,"51,821",Latin America,Less than $1M,Active,2011-05-30,day,,,,,For Profit,http://www.nethub.co,http://twitter.com/NethubCo,,,info@nethub.co,+1 (650) 353 9333,,,"Cloud based tool to centralize consumer information from any type of marketing interaction of B2C companies, that let do a natural and intuitive consumer data knowledge and profiling based on innovate semantic tagging system.",,,,,,,,,,,,,,"Data and Analytics, Internet Services, Software",2.0,"Alvaro Galvis, Andres Cala",11-50,4.0,Seed,2013-01-01,320000000,COP,181026.0,Convertible Note,42863.0,EUR,55672.0,Seed,270586.0,USD,270586.0,451612.0,USD,451612.0,"Wayra, Inversiones Montferrat, Diego Lamprea",1.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,735",10.0,,,14.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
79,Saludtools,https://www.crunchbase.com/organization/saludtools,"Electronic Health Record (EHR), Health Care, Medical, Pharmaceutical","Bogotá, Distrito Especial, Colombia",We are about enabling better living conditions for everyone. We are a company that breaks barriers between healthcare providers and patients,"51,849",Latin America,,Active,2014-09-14,day,,,,,For Profit,https://www.saludtools.com,https://twitter.com/saludtools,https://www.facebook.com/saludtools,https://www.linkedin.com/company/carecloud-s-a-s-,admin@carecloud.com.co,,3,,"Saludtools is a digital platform that improves access, quality and reliability of medical services for thousands of patients in Latin America. Our innovative and friendly technology breaks the barriers that prevent a better medical attention. We are about making outstanding healthcare accessible for everyone.",,,,,,,,,,,,,,Health Care,2.0,"Camilo Naranjo Kairuz, Jon Aritz Real",11-50,1.0,Seed,2020-01-25,400000,USD,400000.0,Pre-Seed,400000.0,USD,400000.0,Pre-Seed,400000.0,USD,400000.0,400000.0,USD,400000.0,Rockstart,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,763",80.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
80,mi.tv,https://www.crunchbase.com/organization/mi-tv,"Internet, Mobile","Bogotá, Distrito Especial, Colombia","A social TV Guide for mobile and desktop, focusing on growth markets in Latin America.","52,458",Latin America,$1M to $10M,Active,2014-05-01,day,,,,,For Profit,http://www.mi.tv,https://twitter.com/mitv_co,https://www.facebook.com/mi.tv.Colombia,https://www.linkedin.com/company/mi-tv,hello@mi.tv,,22,,"mi.tv revolutionizes the way users get guidance, information and inspiration on what’s airing on TV, follow shows, be reminded of favourite programmes and share the experience with friends. Users can tailor the service to their own taste and link to social media. mi.tv recommends shows based on users’ preferences, requiring no more browsing around 300 cable TV channels to find inspiration: mi.tv will do this for you, so you never miss a thing.",,,,,,,,,,,,,,"Internet Services, Mobile",3.0,"Diego Vallejo Janne, Fredrik Hellström, Tomas Mazowski",11-50,3.0,Seed,2016-02-01,32000,EUR,34849.0,Convertible Note,1500000.0,SEK,171724.0,Angel,1500000.0,SEK,171724.0,321162.0,USD,321162.0,Propel Capital,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,402",27.0,2.0,"4,604",12.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
81,Hometuls,https://www.crunchbase.com/organization/hometuls,,"Bogotá, Distrito Especial, Colombia",Hometuls connects suppliers with construction projects.,"52,459",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://hometuls.co/,,https://www.facebook.com/hometuls/,https://www.linkedin.com/company/hometuls/,neftaly@hometuls.co,(057) 313 333 8930,1,,"Hometuls is a platform that connects products and services with construction and infrastructure projects through data. Hometuls built a data-driven business model, where we process thousands of construction projects and connect them with suppliers that can meet their needs. Hometuls allow builders to digitise the procurement process, and suppliers to have a sales channel for the long-tail of builders in an effective way. We are focused on the SME segment of construction companies, which represents more than 90% of the market.",,,,,,,,,,,,,,,,,1-10,2.0,Seed,2020-12-31,295000,USD,295000.0,Pre-Seed,295000.0,USD,295000.0,Pre-Seed,375000.0,USD,375000.0,375000.0,USD,375000.0,"Start-Up Chile, Parallel18, Kalei Ventures, Winnipeg Capital",,4.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,403",45.0,,,21.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
82,ERCO,https://www.crunchbase.com/organization/erco,"Electric Vehicle, Energy, Energy Storage, Renewable Energy, Solar","Medellín, Antioquia, Colombia",We build and manage Distributed Generation (DG) energy systems for industrial and commercial clients. #1 EPC in Colombia.,"52,870",Latin America,,Active,2012-11-15,day,,,,,For Profit,http://www.ercoenergia.com.co/,https://twitter.com/ErcoEnergia,https://www.facebook.com/ercoenergiarenovable/,https://www.linkedin.com/company/erco-energ%C3%ADa-s-a-s/,comercial@ercoenergia.com.co,,,,"We build Solar PV, EV infrastructure and Electric Energy Storage systems. Erco was founded in 2012 and is based in Medellín,Colombia with offices in Cali and Bogotá.",,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability, Transportation",2.0,"Juan Camilo López, Juan Esteban Hincapié Rivera",11-50,2.0,Early Stage Venture,2018-11-01,600000,USD,600000.0,Debt Financing,400000.0,USD,400000.0,Series A,400000.0,USD,400000.0,1000000.0,USD,1000000.0,FCP Emprendimiento e Innovación SP,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,830",12.0,,,20.0,,,,,,,,,Colombia,Medellín,Antioquia,0
